epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2491.7,0.69605,1.4645,0.80064,1.11387,0.863,0.81744,0.90578,0.72968,0.85856,0.82057,0.9016,0.69261,0.68485,1.28583,0.61069,1.07503,0.000594031,0.000594031,0.000594031
30,2569.24,0.69898,1.47471,0.82496,1.11805,0.83541,0.84092,0.90121,0.73043,0.83396,0.84327,0.8956,0.69348,0.6599,1.28523,0.58421,1.05422,0.000582783,0.000582783,0.000582783
31,2646.76,0.69389,1.48733,0.81294,1.11709,0.88136,0.81629,0.90366,0.73467,0.87919,0.82486,0.89858,0.70366,0.66711,1.17934,0.5799,1.05507,0.000571534,0.000571534,0.000571534
32,2724.71,0.70113,1.47536,0.81236,1.12696,0.82224,0.8618,0.89836,0.72757,0.8351,0.84165,0.89267,0.69431,0.6607,1.17266,0.60911,1.06107,0.000560285,0.000560285,0.000560285
33,2802.19,0.67808,1.43528,0.78489,1.10583,0.87679,0.8285,0.90902,0.7385,0.88264,0.82068,0.90479,0.70832,0.67225,1.16141,0.58146,1.05966,0.000549036,0.000549036,0.000549036
34,2879.63,0.68509,1.44506,0.79209,1.11558,0.89313,0.82667,0.90146,0.72858,0.89405,0.82903,0.89917,0.69647,0.66825,1.17863,0.5721,1.0568,0.000537787,0.000537787,0.000537787
35,2957.17,0.68254,1.4421,0.77804,1.11199,0.82532,0.86621,0.89548,0.73492,0.83056,0.8597,0.89477,0.70989,0.65303,1.1392,0.58678,1.05736,0.000526538,0.000526538,0.000526538
36,3034.83,0.66963,1.40915,0.7656,1.09789,0.89734,0.83326,0.90592,0.73821,0.89048,0.82446,0.89319,0.70522,0.65742,1.16869,0.57957,1.05853,0.000515289,0.000515289,0.000515289
37,3112.38,0.67449,1.43085,0.76663,1.10509,0.88121,0.85966,0.91706,0.74897,0.85233,0.86577,0.90205,0.72034,0.65241,1.16047,0.54955,1.06005,0.00050404,0.00050404,0.00050404
38,3190.15,0.67504,1.44773,0.77175,1.10108,0.87347,0.86395,0.91531,0.75895,0.86914,0.85966,0.90617,0.72371,0.62346,1.1188,0.53025,1.02351,0.000492792,0.000492792,0.000492792
